ID	Idx	WordID	State	Type	Name	MemoID	Codes	ActiveCodes	Author	Date	Variable	CatVariable	DocID	Alias	GeoLinkID	FgCodingsCount	FgCodedCharsCount	Color	LastChgUser	LastChgDate
1	1	3	1	0	Forscher-Ich	0	34		anonymous	2018-01-18T12:53:15.295	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T14:23:52.189
2	2	3	0	0	Forscher-Ich*	0	69		anonymous	2018-01-18T12:53:49.166	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T15:22:40.060
3	3	0	1	0	Schreiber-Ich	0	23		anonymous	2018-01-18T12:54:15.040	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T15:22:12.299
4	4	3	1	0	Verfasser-Ich	0	296		anonymous	2018-01-18T12:54:30.794	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T15:21:34.486
5	3	3	1	0	Verfasser-Ich*	0	69		anonymous	2018-01-18T12:54:43.243	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T13:38:00.325
6	0	3	1	0	Erzähler-Ich	0	314		anonymous	2018-01-18T12:54:55.041	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T15:18:57.094
7	0	6	0	0	Erzähler-Ich*	0	82		anonymous	2018-01-18T12:55:04.096	0	0	0		0	0	0	4278190335	anonymous	2018-03-01T15:15:03.275
8	1	9	1	0	SB-Ich	0	349		anonymous	2018-01-18T12:55:48.315	0	0	0		0	0	0	4294934528	anonymous	2018-03-01T15:21:53.226
9	2	0	1	0	SB	0	0		anonymous	2018-01-18T12:56:28.925	0	0	0		0	0	0	4294934528	anonymous	2018-01-18T12:56:28.925
10	0	9	0	0	"SB thematisiert ""Ich"""	0	9		anonymous	2018-01-18T12:56:45.802	0	0	0		0	0	0	4294934528	anonymous	2018-03-01T09:16:35.452
11	1	0	1	0	Sonstige	0	56		anonymous	2018-01-18T12:57:27.289	0	0	0		0	0	0	4278255360	anonymous	2018-03-01T12:57:08.840
12	0	14	1	0	"""Ich"" in Beispielen,Zitaten etc"	1	1302		anonymous	2018-01-18T12:57:54.522	0	0	0		0	0	0	4278255360	anonymous	2018-03-01T15:21:47.230
13	0	11	0	0	"""Ich"" stellvertr. für Allgemeinheit"	0	35		anonymous	2018-01-18T13:00:00.299	0	0	0		0	0	0	4278255360	anonymous	2018-03-01T14:19:01.739
14	1	11	1	0	Eid	0	48		anonymous	2018-01-18T13:00:10.769	0	0	0		0	0	0	4278255360	anonymous	2018-03-01T14:33:01.522
15	0	0	33	0	ROT	0	0		anonymous	2018-02-28T19:38:16.177	0	0	0		0	0	0	4294927974	anonymous	2018-02-28T19:39:30.254
